GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
96;Vlieland;Vrij en Sociaal Nederland;0
98;Weststellingwerf;50PLUS;166
98;Weststellingwerf;BBB;522
98;Weststellingwerf;BIJ1;20
98;Weststellingwerf;CDA;2093
98;Weststellingwerf;CODE ORANJE;62
98;Weststellingwerf;ChristenUnie;385
98;Weststellingwerf;D66;1728
98;Weststellingwerf;DENK;36
98;Weststellingwerf;De Groenen;2
98;Weststellingwerf;Forum voor Democratie;1112
98;Weststellingwerf;GROENLINKS;526
98;Weststellingwerf;JA21;368
98;Weststellingwerf;JEZUS LEEFT;14
98;Weststellingwerf;JONG;18
98;Weststellingwerf;LP (Libertaire Partij);10
98;Weststellingwerf;Lijst Henk Krol;18
98;Weststellingwerf;NIDA;37
98;Weststellingwerf;NLBeter;15
98;Weststellingwerf;OPRECHT;10
98;Weststellingwerf;PVV (Partij voor de Vrijheid);2258
98;Weststellingwerf;Partij van de Arbeid (P.v.d.A.);1355
98;Weststellingwerf;Partij voor de Dieren;593
98;Weststellingwerf;Partij voor de Republiek;6
98;Weststellingwerf;Piratenpartij;35
98;Weststellingwerf;SP (Socialistische Partij);1277
98;Weststellingwerf;Splinter;48
98;Weststellingwerf;Staatkundig Gereformeerde Partij (SGP);94
98;Weststellingwerf;Trots op Nederland (TROTS);40
98;Weststellingwerf;VVD;3424
98;Weststellingwerf;Volt;193
98;Weststellingwerf;Vrij en Sociaal Nederland;9
106;Assen;50PLUS;433
106;Assen;BBB;378
106;Assen;BIJ1;140
106;Assen;Blanco (lijst 30);56
106;Assen;CDA;3579
106;Assen;CODE ORANJE;156
106;Assen;ChristenUnie;3399
106;Assen;D66;6628
106;Assen;DENK;220
106;Assen;Forum voor Democratie;2159
106;Assen;GROENLINKS;2324
106;Assen;JA21;804
106;Assen;JEZUS LEEFT;34
106;Assen;JONG;59
106;Assen;LP (Libertaire Partij);26
106;Assen;Lijst Henk Krol;29
106;Assen;Modern Nederland;10
106;Assen;NIDA;60
106;Assen;NLBeter;38
106;Assen;OPRECHT;70
106;Assen;PVV (Partij voor de Vrijheid);3725
106;Assen;Partij van de Arbeid (P.v.d.A.);3929
